,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
344,Business Studies International,DC110,465,,8,Dublin City University
345,Business Studies,DC111,488,,8,Dublin City University
346,Global Business (France),DC112,517,510,8,Dublin City University
347,Global Business (Germany),DC113,462,,8,Dublin City University
348,Global Business (Spain),DC114,522,,8,Dublin City University
349,Accounting and Finance,DC115,510,,8,Dublin City University
350,Global Business (USA),DC116,579,,8,Dublin City University
351,Aviation Management / Aviation Management with Pilot Studies,DC117,476,475,8,Dublin City University
352,Gnó agus Gaeilge / Business and Irish,DC118,359,,8,Dublin City University
353,Global Business (Canada),DC119,564,,8,Dublin City University
354,Enterprise Computing,DC120,357,,8,Dublin City University
355,Computer Applications,DC121,400,,8,Dublin City University
356,Data Science,DC123,465,,8,Dublin City University
357,Actuarial Mathematics,DC126,560,,8,Dublin City University
358,Common Entry into Actuarial and Financial Mathematics,DC127,532,520,8,Dublin City University
359,Communication Studies,DC131,407,402,8,Dublin City University
360,Journalism,DC132,429,422,8,Dublin City University
361,Multimedia,DC133,411,410,8,Dublin City University
362,Applied Language and Translation Studies,DC155,387,,8,Dublin City University
363,Analytical Science,DC161,498,489,8,Dublin City University
364,Chemical and Pharmaceutical Sciences,DC162,521,,8,Dublin City University
365,Environmental Science and Technology,DC166,433,399,8,Dublin City University
366,Genetics and Cell Biology,DC168,512,510,8,Dublin City University
367,Physics General Entry (options),DC175,419,402,8,Dublin City University
368,Biotechnology,DC181,499,495,8,Dublin City University
369,Electronic and Computer Engineering (with choice of four majors),DC190,413,,8,Dublin City University
370,Mechatronic Engineering,DC193,411,,8,Dublin City University
371,Mechanical and Manufacturing Engineering,DC195,425,,8,Dublin City University
372,Biomedical Engineering,DC197,423,,8,Dublin City University
373,Common Entry into Engineering (Undenominated Entry),DC200,422,,8,Dublin City University
374,Common Entry into Science (Undenominated Entry),DC201,498,488,8,Dublin City University
375,Sport Science and Health,DC202,500,498,8,Dublin City University
376,Science Education,DC203,435,,8,Dublin City University
377,Athletic Therapy and Training,DC204,522,519,8,Dublin City University
378,Physical Education with Biology,DC205,531,,8,Dublin City University
379,Physical Education with Mathematics,DC206,499,,8,Dublin City University
380,Psychology,DC208,532,521,8,Dublin City University
381,Health and Society,DC209,465,440,8,Dublin City University
382,General Nursing,DC215,454,433,8,Dublin City University
383,Mental Health Nursing,DC216,418,403,8,Dublin City University
384,Intellectual Disability Nursing,DC217,370,,8,Dublin City University
385,Children`s and General Nursing (Integrated),DC218,500,498,8,Dublin City University
386,"Economics, Politics and Law",DC230,435,,8,Dublin City University
387,International Relations,DC231,397,,8,Dublin City University
388,Law and Society (BCL),DC232,466,,8,Dublin City University
389,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,,8,Dublin City University
390,Social Sciences and Cultural Innovation,DC238,377,,8,Dublin City University
391,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,,8,Dublin City University
392,"Marketing, Innovation and Technology",DC240,476,474,8,Dublin City University
393,Arts (Joint Honours) - Media Studies,DC291,376,,8,Dublin City University
394,Arts (Joint Honours) - Law,DC292,403,,8,Dublin City University
395,Arts (Joint Honours) - International Languages,DC293,377,,8,Dublin City University
396,Arts (Joint Honours) - Politics,DC295,376,,8,Dublin City University
420,Accounting and Finance,DK810,305,305,8,Dundalk Institute of Technology
421,Business Studies,DK816,300,300,8,Dundalk Institute of Technology
422,Computing in Games Development,DK820,311,311,8,Dundalk Institute of Technology
423,Computing in Software Development,DK821,302,302,8,Dundalk Institute of Technology
424,Augmented and Virtual Reality,DK822,307,,8,Dundalk Institute of Technology
425,Building Surveying,DK830,336,,8,Dundalk Institute of Technology
426,Architectural Technology,DK831,389,,8,Dundalk Institute of Technology
427,Construction Management,DK832,387,,8,Dundalk Institute of Technology
428,Engineering (Common Entry),DK843,340,340,8,Dundalk Institute of Technology
429,Mechanical Engineering,DK844,305,305,8,Dundalk Institute of Technology
430,Electrical & Electronic Engineering,DK845,304,304,8,Dundalk Institute of Technology
431,Civil Engineering,DK846,391,361,8,Dundalk Institute of Technology
432,International Tourism Management,DK850,317,317,8,Dundalk Institute of Technology
433,Music (audition),DK860,532,532,8,Dundalk Institute of Technology
434,Arts,DK861,302,302,8,Dundalk Institute of Technology
435,Social Care,DK862,301,,8,Dundalk Institute of Technology
436,Creative Media,DK863,308,308,8,Dundalk Institute of Technology
437,Film and Television Production,DK864,300,300,8,Dundalk Institute of Technology
438,Audio and Music Production,DK865,301,,8,Dundalk Institute of Technology
439,General Nursing,DK870,403,401,8,Dundalk Institute of Technology
440,Intellectual Disability Nursing,DK872,336,,8,Dundalk Institute of Technology
441,Mental Health Nursing,DK874,356,,8,Dundalk Institute of Technology
442,Early Childhood Studies,DK876,321,,8,Dundalk Institute of Technology
443,Midwifery,DK877,440,,8,Dundalk Institute of Technology
444,Health and Physical Activity,DK880,328,,8,Dundalk Institute of Technology
445,Agriculture (Award options),DK882,310,,8,Dundalk Institute of Technology
446,Science (Award options),DK883,358,321,8,Dundalk Institute of Technology
447,Sustainable Agriculture,DK884,,,8,Dundalk Institute of Technology
448,Agri-Food Production,DK885,,,8,Dundalk Institute of Technology
449,Biopharmaceutical Science,DK886,301,,8,Dundalk Institute of Technology
450,Environmental Science,DK887,330,,8,Dundalk Institute of Technology
452,"English, Media and Cultural Studies",DL821,212,212,8,"Dun Laoghaire Institute of Art, Design and Technology"
453,Arts Management,DL822,229,229,8,"Dun Laoghaire Institute of Art, Design and Technology"
454,Business Management,DL823,235,,8,"Dun Laoghaire Institute of Art, Design and Technology"
455,Applied Psychology,DL825,379,,8,"Dun Laoghaire Institute of Art, Design and Technology"
456,Visual Communication Design,DL826,855,,8,"Dun Laoghaire Institute of Art, Design and Technology"
457,Art,DL827,572,,8,"Dun Laoghaire Institute of Art, Design and Technology"
458,"3D Design, Modelmaking and Digital Art",DL828,506,,8,"Dun Laoghaire Institute of Art, Design and Technology"
459,Design for Stage and Screen (Costume Design),DL829,593,,8,"Dun Laoghaire Institute of Art, Design and Technology"
460,Design for Stage and Screen (Character Makeup Design),DL830,939,,8,"Dun Laoghaire Institute of Art, Design and Technology"
461,Design for Stage and Screen (Production Design),DL831,781,,8,"Dun Laoghaire Institute of Art, Design and Technology"
462,Animation,DL832,920,,8,"Dun Laoghaire Institute of Art, Design and Technology"
463,Photography,DL833,650,,8,"Dun Laoghaire Institute of Art, Design and Technology"
464,Film and Television Production,DL834,990,,8,"Dun Laoghaire Institute of Art, Design and Technology"
465,Creative Computing,DL836,219,,8,"Dun Laoghaire Institute of Art, Design and Technology"
466,New Media Studies,DL837,201,,8,"Dun Laoghaire Institute of Art, Design and Technology"
467,Creative Music Production,DL838,754,,8,"Dun Laoghaire Institute of Art, Design and Technology"
