,title,code,pointsR1,pointsR2,HEI
196,Digital Marketing with Analytics,CW848,254,nan,"Institute of Technology, Carlow"
197,"Sports Management and Coaching (options, portfolio)",CW858,700,nan,"Institute of Technology, Carlow"
198,Business (options),CW908,280,nan,"Institute of Technology, Carlow"
199,Business with Law,CW938,283,nan,"Institute of Technology, Carlow"
200,Accounting,CW948,300,nan,"Institute of Technology, Carlow"
201,Computing,DB500,218,218,Dublin Business School
202,Computing (Cloud Computing),DB501,227,227,Dublin Business School
203,Computing (Data Analytics and Big Data),DB502,341,341,Dublin Business School
204,Computing (Software Development),DB503,225,225,Dublin Business School
205,Computing (Web and Mobile Technology),DB504,nan,281,Dublin Business School
206,Audio Production and Music Project Management,DB510,234,223,Dublin Business School
207,Business Studies,DB512,218,203,Dublin Business School
208,Business Studies (Law),DB514,252,nan,Dublin Business School
209,Business Studies (Human Resource Management),DB515,244,244,Dublin Business School
210,Financial Services,DB516,nan,nan,Dublin Business School
211,Marketing (Event Management),DB517,238,nan,Dublin Business School
212,Accounting and Finance,DB521,225,195,Dublin Business School
213,Business (Information Systems),DB524,342,309,Dublin Business School
214,Business (Cloud Computing),DB526,347,nan,Dublin Business School
215,Applied Social Care,DB527,234,260,Dublin Business School
216,Marketing,DB531,293,nan,Dublin Business School
217,Psychology,DB562,243,229,Dublin Business School
218,Social Science,DB566,220,227,Dublin Business School
219,Film and Creative Media,DB567,218,202,Dublin Business School
220,Law,DB568,219,252,Dublin Business School
221,Business (Psychology),DB569,252,nan,Dublin Business School
222,Education - Early Childhood Education,DC001,440,nan,Dublin City University
223,Education - Primary Teaching,DC002,488,nan,Dublin City University
224,Education - Primary Teaching - Gaeltacht Applicants,DC003,445,nan,Dublin City University
225,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,409,Dublin City University
226,Arts (Joint Honours) - Humanities,DC009,376,nan,Dublin City University
227,Post Primary Teacher Education - Religious Education and English,DC010,441,429,Dublin City University
228,Post Primary Teacher Education - Religious Education and History,DC011,412,391,Dublin City University
229,Post Primary Teacher Education - Religious Education and Music,DC012,378,nan,Dublin City University
230,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,nan,Dublin City University
231,BA in Jazz and Contemporary Music Performance (audition),DC014,419,nan,Dublin City University
232,Business Studies International,DC110,465,nan,Dublin City University
233,Business Studies,DC111,488,nan,Dublin City University
234,Global Business (France),DC112,517,510,Dublin City University
235,Global Business (Germany),DC113,462,nan,Dublin City University
236,Global Business (Spain),DC114,522,nan,Dublin City University
237,Accounting and Finance,DC115,510,nan,Dublin City University
238,Global Business (USA),DC116,579,nan,Dublin City University
239,Aviation Management / Aviation Management with Pilot Studies,DC117,476,475,Dublin City University
