,title,code,pointsR1,pointsR2
446,Na Dána (Gaeilge agus Léann an Aistriúcháin),GY107,409,nan
447,Arts (Mathematics and Education),GY109,403,nan
448,Arts with Children`s Studies,GY110,357,nan
449,Arts with Creative Writing,GY111,330,nan
450,Arts with Film Studies,GY112,321,nan
451,Arts with Human Rights,GY113,368,nan
452,Arts with Performing Arts Studies,GY115,387,nan
453,"Arts (Drama, Theatre and Performance Studies)",GY118,451,nan
454,Arts (Journalism),GY119,400,nan
455,"Arts (Child, Youth and Family: Policy and Practice)",GY120,350,nan
456,Arts (Children`s Studies),GY121,356,nan
457,Na Dána (Cumarsáid agus Gaeilge),GY122,361,nan
458,Applied Social Sciences,GY123,358,nan
459,Arts (Arts with Data Science),GY124,454,nan
460,Arts (Digital Arts and Technology),GY125,328,nan
461,Arts (English and Media Studies),GY126,391,nan
462,Arts (Film and Digital Media),GY127,401,nan
463,Arts (Global Languages),GY128,352,nan
464,Arts (International),GY129,420,nan
465,Arts (Music),GY130,408,nan
466,Arts (History and Globalisation Studies),GY131,360,nan
467,"Government (Politics, Economics and Law)",GY132,407,nan
468,Education (Computer Science and Mathematical Studies),GY133,422,nan
469,Geography and Geosystems,GY134,410,nan
470,Commerce,GY201,433,nan
471,Commerce (International) with French,GY202,484,nan
472,Commerce (International) with German,GY203,489,nan
473,Commerce (International) with Spanish,GY204,495,nan
474,Business Information Systems (Work Placement & Optional Int`l Study),GY206,465,nan
475,Commerce (Accounting) including optional Global Experience year,GY207,509,nan
476,Commerce (Gaeilge),GY208,473,nan
477,Commerce (Global Experience),GY209,530,nan
478,Law and Business,GY250,487,nan
479,Law (BCL),GY251,499,nan
480,Law (BCL) and Human Rights,GY252,520,nan
481,Law and Taxation,GY253,509,nan
482,"Law (BCL), Criminology and Criminal Justice",GY254,530,nan
483,"Business Studies (International Hotel Management, interview)",GY261,497,nan
484,"Commerce (International Hotel Management, interview)",GY262,681,nan
485,Science,GY301,433,432
486,Biomedical Science,GY303,556,nan
487,Biotechnology,GY304,465,nan
488,Environmental Science,GY308,408,nan
489,Financial Mathematics and Economics,GY309,487,nan
490,Marine Science,GY310,419,nan
491,Environmental Health and Safety,GY313,412,nan
492,Earth and Ocean Sciences,GY314,403,nan
493,Biopharmaceutical Chemistry,GY318,509,nan
494,Mathematical Science,GY319,476,nan
495,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,402,nan
496,Genetics and Genomics,GY321,508,nan
497,Computer Science and Information Technology,GY350,403,nan
498,Engineering (Undenominated),GY401,465,nan
499,Civil Engineering,GY402,455,nan
500,Mechanical Engineering,GY405,454,nan
501,Electronic and Computer Engineering,GY406,510,nan
502,Biomedical Engineering,GY408,509,nan
503,Project and Construction Management,GY410,403,nan
504,Energy Systems Engineering,GY413,502,nan
505,Electrical and Electronic Engineering,GY414,405,nan
506,"Medicine (five year/six year course, HPAT required)",GY501,728,nan
507,Occupational Therapy,GY502,555,nan
508,Speech and Language Therapy,GY503,543,nan
509,Podiatric Medicine,GY504,443,nan
510,General Nursing (Galway and Portiuncula),GY515,476,473
511,Mental Health Nursing,GY516,440,nan
512,Midwifery,GY517,495,nan
513,Accounting and Finance,ID001,203,nan
514,Business Studies,ID002,294,nan
515,"Art and Design (Common Entry, portfolio)",LC110,740,nan
516,Fashion and Textiles for Product and Costume (portfolio),LC114,880,nan
517,Art and Design Teacher Education (portfolio),LC115,942,nan
518,Digital Marketing,LC220,262,nan
519,Law and Taxation,LC223,307,nan
520,Accounting and Finance,LC224,300,nan
521,Marketing and Management,LC225,298,nan
522,Enterprise and Innovation,LC226,234,234
523,Software Development,LC233,272,nan
524,Interactive Digital Media,LC234,225,nan
525,Internet Systems Development,LC236,262,260
526,Computer Networks and Systems Management,LC239,307,nan
527,Construction Management,LC241,255,nan
528,Property Valuation and Management,LC242,282,nan
529,Quantity Surveying,LC243,294,nan
530,Built Environment (Common Entry),LC248,288,nan
531,Civil Engineering Management,LC252,270,nan
532,Clinical Technology,LC263,294,nan
533,Forensic and Pharmaceutical Sciences,LC265,413,nan
534,Drug and Medicinal Product Analysis,LC266,262,nan
535,Electrical Engineering,LC275,298,nan
536,Mechanical Engineering,LC288,347,346
537,Precision Engineering,LC289,291,nan
538,Social Care Work,LC292,367,nan
539,Business Studies with Travel and Tourism Management,LC293,307,nan
540,Business Studies with Event Management,LC294,279,nan
541,Business Studies with Sports Management,LC295,252,nan
542,Community Development,LC297,235,nan
543,Business,LC320,346,nan
544,Business with Computing,LC330,297,nan
545,Interior Design,LC340,350,nan
546,Biotechnology and Biopharmaceutical Sciences,LC362,413,nan
547,Creative Broadcast and Film Production,LC371,309,nan
548,Music Technology and Production,LC372,325,nan
549,Renewable and Electrical Energy Engineering,LC374,318,nan
550,Industrial Automation and Robotic Systems,LC375,317,nan
551,Electronic Engineering,LC376,318,nan
552,Automotive Engineering and Transport Management,LC380,303,298
553,Business Studies in Beauty and Spa Management,LC392,236,nan
554,Early Childhood Education and Care,LC393,236,nan
555,Early Childhood Education and Care,LC401,297,nan
556,Social Care Work,LC402,225,nan
557,Environmental Science and Climate,LC408,279,nan
558,Data Analytics and Cyber Security,LC414,236,nan
559,Business,LC416,274,nan
560,Computing - Games Design and Development,LC418,270,nan
561,Sports Strength and Conditioning,LC422,298,nan
562,Environmental Science and Agriculture,LC434,297,nan
563,Game Art and Design (portfolio),LC502,852,nan
564,Creative Media and Design,LC517,234,nan
565,Digital Animation Production (portfolio),LC518,808,nan
566,Social Care Work,LC612,320,nan
567,Early Childhood Education and Care,LC613,242,nan
568,Arts,LM002,348,nan
569,Law and Accounting,LM020,465,nan
570,Performing Arts (audition required),LM026,303,nan
571,Criminal Justice,LM028,418,nan
572,Law Plus,LM029,490,nan
573,Psychology and Sociology,LM038,500,nan
574,Journalism and Digital Communication,LM039,402,nan
575,European Studies,LM040,369,nan
576,Applied Languages,LM044,442,nan
577,Business Studies (options),LM050,431,nan
578,International Business,LM056,528,nan
579,Financial Mathematics,LM058,403,nan
580,Technology Management,LM063,379,nan
581,Food Science and Health,LM068,421,nan
582,Product Design and Technology (portfolio required),LM076,408,nan
583,Aeronautical Engineering,LM077,520,nan
584,Construction Management and Engineering,LM082,398,nan
585,Sport and Exercise Sciences,LM089,474,nan
586,Physical Education with concurrent Teacher Education,LM090,532,nan
587,Languages with concurrent Teacher Education,LM091,517,nan
588,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,nan
589,Equine Science,LM093,339,nan
590,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,nan
591,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,nan
592,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,nan
593,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,nan
594,Architecture (portfolio requirement suspended),LM099,498,nan
595,Physiotherapy,LM100,589,nan
596,Medicine  - Graduate Entry (GAMSAT required),LM101,55,nan
597,Psychology,LM102,509,nan
598,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,nan
599,Chemical and Biochemical Engineering,LM115,454,nan
600,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,nan
601,Electronic and Computer Engineering,LM118,403,nan
602,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,nan
603,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,nan
604,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,nan
605,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,nan
606,Physics (Applied Physics or Mathematics & Physics),LM125,404,nan
607,General Nursing,LM150,475,nan
608,Mental Health Nursing,LM152,419,nan
609,Intellectual Disability Nursing,LM154,420,nan
610,Midwifery,LM156,469,nan
611,Business - Accounting,LY108,309,nan
612,Business,LY118,290,nan
613,Law,LY208,300,nan
614,Sports and Exercise - Common Entry,LY228,300,nan
615,Design - Common Entry,LY408,320,nan
