,code,title,EOS,Mid
28,TR002,Music,#414,473
29,TR003,History,486,518
30,TR004,Law,532,552
31,TR005,Philosophy,391,446
32,TR006,Psychology,555*,577
33,TR007,Clinical Speech and Language Studies,499,529
34,TR009,Music Education,#430,465
35,TR012,History and Political Science,532*,557
36,TR015,"Philosophy, Political Science, Economics and Sociology",566,577
37,TR016,Deaf Studies,337,372
38,TR017,Law and Business,576,589
39,TR018,Law and French,532*,554
40,TR019,Law and German,523,555
41,TR020,Law and Political Science,567,600
42,TR021,"Classics, Ancient History and Archaeology",377,495
43,TR022,Early and Modern Irish,347,407
44,TR023,English Studies,463,511
45,TR024,European Studies,520,544
46,TR025,Drama and Theatre Studies,#489,531
47,TR028,Ancient and Medieval History and Culture,339,451
48,TR029,Political Science and Geography,477,500
49,TR031,Mathematics,566,589
50,TR032,Engineering,487*,520
51,TR033,Computer Science,465*,488
52,TR034,Management Science and Information Systems Studies,589*,602
53,TR035,Theoretical Physics,554,601
54,TR038,Engineering with Management,499,543
2,TR041,Religion,347,393
3,TR051,Medicine (HPAT required),#730,739
4,TR052,Dental Science,590*,602
5,TR053,Physiotherapy,533*,544
6,TR054,Occupational Therapy,500,520
7,TR055,Radiation Therapy,510,521
8,TR056,Human Health and Disease,543,565
9,TR060,Biological and Biomedical Sciences,510*,542
10,TR061,Chemical Sciences,488*,520
11,TR062,Geography and Geoscience,435,485
12,TR063,Physical Sciences,498*,543
13,TR072,Pharmacy,555*,577
14,TR080,Global Business,565,577
15,TR081,"Business, Economic and Social Studies (BESS)",518*,542
16,TR082,Computer Science and Business,510,542
17,TR083,Sociology and Social Policy,451,474
18,TR084,Social Studies (Social Work),420*,462
19,TR085,Business Studies and French,509,553
20,TR086,Business Studies and German,474,495
21,TR087,Business Studies and Russian,467,487
22,TR089,Business Studies and Polish,393,434
23,TR090,Business Studies and Spanish,510,543
24,TR091,General Nursing (Meath and St James`s),393*,420
25,TR093,General Nursing (Adelaide School of Nursing),#378*,409
26,TR095,Mental Health Nursing,358,377
27,TR097,Intellectual Disability Nursing,346,350
28,TR911,Children`s and General Nursing (Integrated),476*,487
29,TR913,Midwifery,423,462
30,,University College Dublin (NUI),,
31,DN100,Architecture,473,509
32,DN120,Landscape Architecture,353,403
33,DN130,City Planning and Environmental Policy,367,421
34,DN150,Engineering (Common Entry),511,554
35,DN200,Science (options),521,554
36,DN201,Computer Science (Common Entry),488,509
37,DN230,Actuarial and Financial Studies,577,589
38,DN250,Agricultural Science (options),420,462
39,DN252,Dairy Business,398,428
40,DN253,Agri - Environmental Sciences,403,419
41,DN261,Food Science,434,467
42,DN262,Human Nutrition,493,510
43,DN271,Forestry,303,361
44,DN272,"Horticulture, Landscape and Sportsturf Management",252,312
45,DN300,Veterinary Medicine - Undergraduate Entry,#567,589
46,DN301,Veterinary Medicine - Graduate Entry,#,
47,DN310,Veterinary Nursing,441,487
48,DN400,Medicine - Undergraduate Entry (HPAT required),#735,745
49,DN401,Medicine - Graduate Entry (GAMSAT required),#59*,61
50,DN410,Radiography,507,522
51,DN411,Radiography - Graduate Entry,#,
52,DN420,Physiotherapy,542,555
53,DN425,Health and Performance Science,488,509
54,DN430,Sport and Exercise Management,436,455
2,DN451,Children`s and General Nursing (Integrated),462*,499
3,DN452,Midwifery,409,452
4,DN453,Mental Health Nursing,379,403
5,DN520,Arts (Two Subjects),336,408
6,DN530,Humanities (options),348,411
7,DN541,Modern Languages (options),348,412
8,DN600,Law (options),520*,532
9,DN610,Business and Law,521,543
10,DN650,Commerce,498*,510
11,DN660,Commerce International (options),507,531
12,DN670,Economics and Finance,601,601
13,DN700,Social Sciences (options),388,441
14,DN710,Economics,476,488
15,DN720,Psychology,517,531
16,DN750,Social Policy and Sociology,330,366
17,,Dundalk Institute of Technology,,
18,DK810,Accounting and Finance,306,391
19,DK816,Business Studies,300,357
20,DK820,Computing in Games Development,307,369
21,DK821,Computing in Software Development,301,347
22,DK830,Building Surveying,302,349
23,DK831,Architectural Technology,301,366
24,DK832,Construction Management,300,329
25,DK843,Engineering (Common Entry),303,402
26,DK860,Music,#499,649
27,DK861,Arts,300,358
28,DK862,Social Care,300,338
29,DK863,Creative Media,300,376
30,DK864,Film and Television Production,300,332
31,DK865,Audio and Music Production,301,346
32,DK870,General Nursing,392,401
33,DK872,Intellectual Disability Nursing,300,317
34,DK874,Mental Health Nursing,356,378
35,DK876,Early Childhood Studies,305,359
36,DK877,Midwifery,398*,441
37,DK880,Health and Physical Activity,300,367
38,DK882,Agriculture (Award options),303,358
39,DK883,Science (Award options),300,369
40,,Galway-Mayo Institute of Technology,,
41,GA181,Accounting,303,378
42,GA182,Business,290,347
43,GA183,Business Information Systems,309,373
44,GA184,Marketing and Sales,307,348
45,GA185,Finance and Economics,307,398
46,GA186,Business with Entrepreneurship,297,328
47,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367
48,GA281,Film and Documentary,287,360
49,GA282,Heritage Studies,238,308
50,GA283,Contemporary Art,260,340
51,GA284,Design,309,377
52,GA380,International Hotel Management,225,289
53,GA381,International Tourism Management,261,290
54,GA382,Culinary and Gastronomic Science,225,316
2,GA480,Construction Management,260,312
3,GA482,Quantity Surveying and Construction Economics,280,340
4,GA483,Architectural Technology,251,321
5,GA484,Civil Engineering,270,362
6,GA580,Software and Electronic Engineering,301,351
7,GA680,Mechanical Engineering,336,389
8,GA681,Energy Engineering,281,328
9,GA682,Biomedical Engineering,331,383
10,GA683,Agricultural Engineering,301,365
11,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406
12,GA780,Applied Freshwater and Marine Biology,300,360
13,GA781,Applied Biology and Biopharmaceutical Science,317,376
14,GA782,Chemical and Pharmaceutical Science,307,346
15,GA783,Physics and Instrumentation,373,378
16,GA784,Science (Undenominated),327,377
17,GA785,Medical Science,451,486
18,GA786,Forensic Science and Analysis,300,366
19,GA787,Computing in Software Development,275,327
20,GA788,Computing and Digital Media,270,327
21,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339
22,GA790,Sport and Exercise Science,350,379
23,GA791,Public Health Nutrition,364,397
24,GA880,General Nursing - Mayo Campus,389*,400
25,GA882,Psychiatric Nursing - Mayo Campus,346,370
26,GA885,Outdoor Education - Mayo Campus,210,298
27,GA887,History and Geography - Mayo Campus,228,296
28,GA889,Applied Social Care - Mayo Campus,260,297
29,GA890,Early Childhood Care and Education - Mayo Campus,278,319
30,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389
31,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350
32,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352
33,,"National University of Ireland, Galway",,
34,GY101,Arts (Joint-Honours),300,374
35,GY104,Arts (Psychology),507,529
36,GY105,Arts (History),318,358
37,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397
38,GY109,Arts (Mathematics and Education),411,487
39,GY110,Arts with Children's Studies,382,409
40,GY111,Arts with Creative Writing,402,472
41,GY112,Arts with Film Studies,338,370
42,GY113,Arts with Human Rights,338,409
43,GY115,Arts with Performing Arts Studies,328,367
44,GY118,"Arts (Drama, Theatre and Performance Studies)",410,451
45,GY119,Journalism,410,475
46,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346
47,GY121,Arts (Children's Studies),356,389
48,GY122,Na Dána (Cumarsáid agus Gaeilge),308,399
49,GY123,BSc (Applied Social Sciences),357,388
50,GY124,Arts (Arts with Data Science),434,466
51,GY125,Arts (Digital Arts and Technology),324,379
52,GY126,Arts (English and Media Studies),418,451
53,GY127,Arts (Film and Digital Media),387,435
54,GY128,Arts (Global Languages),370,440
2,GY131,Arts (History and Globalisation Studies),340,431
3,GY132,"Government (Politics, Economics and Law)",402,444
4,GY133,Education (Computer Science and Mathematical  Studies),401,466
5,GY201,Commerce,420,453
6,GY202,Commerce (International) with French,484,513
7,GY203,Commerce (International) with German,489,541
8,GY204,Commerce (International) with Spanish,484,500
9,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445
10,GY207,Commerce (Accounting) including optional Global Experience year,486,510
11,GY208,Commerce (Gaeilge),473,488
